,combined_fips,votes_dem_2016,votes_gop_2016,total_votes_2016,per_dem_2016,per_gop_2016,diff_2016,per_point_diff_2016,state_abbr,county_name,FIPS,total_votes_2012,votes_dem_2012,votes_gop_2012,county_fips,state_fips,per_dem_2012,per_gop_2012,diff_2012,per_point_diff_2012
209,6047,21856.0,18486.0,42523.0,0.5139806692848576,0.43472944053806173,3370,0.07925122874679591,CA,Merced County,North,06047,50538.0,26128.0,23403.0,047,06,0.5169971110847283,0.4630772883770628,2725.0,0.05391982270766554
210,6049,798.0,2413.0,3359.0,0.23757070556713308,0.7183685620720452,1615,-0.48079785650491214,CA,Modoc County,North,06049,3986.0,1113.0,2779.0,049,06,0.2792272955343703,0.6971901655795284,1666.0,-0.4179628700451581
211,6051,2696.0,2080.0,5154.0,0.5230888630190144,0.40357004268529295,616,0.11951882033372141,CA,Mono County,South,06051,4917.0,2574.0,2202.0,051,06,0.5234899328859061,0.4478340451494814,372.0,0.07565588773642468
212,6053,64733.0,26378.0,96676.0,0.6695870743514419,0.27284951797757456,38355,0.3967375563738674,CA,Monterey County,South,06053,78522.0,51712.0,25087.0,053,06,0.6585670258016861,0.31949007921346884,26625.0,0.3390769465882173
213,6055,26161.0,11946.0,40393.0,0.6476617235659644,0.29574431213329044,14215,0.35191741143267397,CA,Napa County,North,06055,32332.0,19964.0,11647.0,055,06,0.6174687615984165,0.36023134974638127,8317.0,0.2572374118520352
214,6057,16199.0,14686.0,33258.0,0.48707077996271575,0.44157796620362016,1513,0.045492813759095585,CA,Nevada County,North,06057,30864.0,14261.0,15696.0,057,06,0.46205935717988594,0.5085536547433903,1435.0,-0.04649429756350437
215,6059,556544.0,472669.0,1092116.0,0.5096015441583128,0.4328010943892407,83875,0.07680044976907213,CA,Orange County,South,06059,1021315.0,457077.0,541592.0,059,06,0.4475377332164905,0.5302888922614473,84515.0,-0.08275115904495678
216,6061,61969.0,78977.0,150532.0,0.41166662237929474,0.5246525655674541,17008,-0.11298594318815935,CA,Placer County,North,06061,126325.0,49126.0,74460.0,061,06,0.38888581040965764,0.5894320205818325,25334.0,-0.2005462101721749
217,6063,3224.0,5079.0,8830.0,0.365118912797282,0.57519818799547,1855,-0.21007927519818798,CA,Plumas County,North,06063,9128.0,3670.0,5240.0,063,06,0.4020595968448729,0.5740578439964943,1570.0,-0.17199824715162138
218,6065,339145.0,309514.0,683612.0,0.49610744106305915,0.45276267824438426,29631,0.04334476281867489,CA,Riverside County,South,06065,589721.0,287754.0,290227.0,065,06,0.4879493862351858,0.49214289469087924,2473.0,-0.00419350845569344
219,6067,273768.0,163024.0,467526.0,0.5855674336828326,0.348695045837023,110744,0.2368723878458096,CA,Sacramento County,North,06067,388090.0,221063.0,157688.0,067,06,0.5696178721430596,0.40631812208508333,63375.0,0.16329975005797626
220,6069,10050.0,6471.0,17572.0,0.5719326200773959,0.3682563168677441,3579,0.20367630320965174,CA,San Benito County,Mid,06069,14972.0,8617.0,6052.0,069,06,0.5755410098851189,0.40422121293080415,2565.0,0.17131979695431476
221,6071,312517.0,253962.0,598783.0,0.521920294998355,0.4241302775796908,58555,0.09779001741866422,CA,San Bernardino County,South,06071,531692.0,274203.0,245468.0,071,06,0.5157177463644366,0.4616732995794558,28735.0,0.05404444678498077
222,6073,567243.0,386807.0,1011651.0,0.5607101658575931,0.3823522143506011,180436,0.17835795150699202,CA,San Diego County,South,06073,928256.0,478386.0,431046.0,073,06,0.5153599869001655,0.4643611245173745,47340.0,0.050998862382791
223,6075,312443.0,34493.0,365295.0,0.8553169356273697,0.09442505372370276,277950,0.7608918819036669,CA,San Francisco County,North,06075,321023.0,267857.0,42654.0,075,06,0.8343856982209997,0.13286898446528753,225203.0,0.7015167137557122
224,6077,89791.0,68316.0,166647.0,0.5388095795303846,0.40994437343606543,21475,0.12886520609431912,CA,San Joaquin County,North,06077,149587.0,80005.0,66742.0,077,06,0.5348392574221021,0.44617513553985305,13263.0,0.08866412188224909
225,6079,63001.0,52672.0,124575.0,0.5057274734095926,0.4228135661248244,10329,0.08291390728476816,CA,San Luis Obispo County,Mid,06079,117597.0,57655.0,56500.0,079,06,0.4902761124858627,0.48045443336139526,1155.0,0.009821679124467464
226,6081,219580.0,53731.0,287499.0,0.763759178292794,0.18689108483855596,165849,0.5768680934542381,CA,San Mateo County,North,06081,211814.0,151036.0,56244.0,081,06,0.713059571133164,0.26553485605295213,94792.0,0.44752471508021185
227,6083,100120.0,53740.0,164224.0,0.6096551052221356,0.3272359703819174,46380,0.28241913484021824,CA,Santa Barbara County,Mid,06083,147249.0,84279.0,59096.0,083,06,0.5723570278915306,0.40133379513612993,25183.0,0.1710232327554007
228,6085,483472.0,137452.0,659148.0,0.7334801895780614,0.20852979907395608,346020,0.5249503905041053,CA,Santa Clara County,North,06085,491687.0,343239.0,136347.0,085,06,0.6980843504099152,0.2773044640187762,206892.0,0.42077988639113906
229,6087,85185.0,20158.0,113509.0,0.7504691257961924,0.1775894422468703,65027,0.5728796835493222,CA,Santa Cruz County,North,06087,81294.0,61106.0,17132.0,087,06,0.751666789676975,0.21074126011759786,43974.0,0.5409255295593771
230,6089,20471.0,47587.0,72554.0,0.2821484687267415,0.6558838933759682,27116,-0.3737354246492267,CA,Shasta County,North,06089,54121.0,18184.0,34561.0,089,06,0.33598787901184385,0.6385876092459489,16377.0,-0.3025997302341051
